Type,Source,Owner,Program,Question,Categories
Secondary Data,Vital Records: Natality,IDPH,Epidemiology,What is the ethnicity of father/co-parent?,"Hispanic, Mexican, Cuban, Puerto Rican, Other (name of other Hispanic ethnicity)"
Secondary Data,Vital Records: Natality,IDPH,Epidemiology,What is the ethnicity of mother/co-parent?,"Hispanic, Mexican, Cuban, Puerto Rican, Other (name of other Hispanic ethnicity)"
Secondary Data,Vital Records: Natality,IDPH,Epidemiology,What is the race of father/co-parent?,"White, Black, Asian, Chinese, Filipino, Vietnamese, Japanese, Korean, Hawaiian, Samoan, Guam, American Indian (name of tribe), Other Asian (name of other Asian race), Other Pacific Islander (name of other Pacific Islander race), Other race (name of other race), Unknown race"
Secondary Data,Vital Records: Natality,IDPH,Epidemiology,What is the race of mother/co-parent?,"White, Black, Asian, Chinese, Filipino, Vietnamese, Japanese, Korean, Hawaiian, Samoan, Guam, American Indian (name of tribe), Other Asian (name of other Asian race), Other Pacific Islander (name of other Pacific Islander race), Other race (name of other race), Unknown race"
Secondary Data,ICBRFS/BRFSS,IDPH/CDC,Epidemiology,"If Asian race, are you...","Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Other Asian"
Secondary Data,ICBRFS/BRFSS,IDPH/CDC,Epidemiology,"If Hispanic, Latino/a, or Spanish origin, are you...","Mecian, Mexican American, Chicago/a, Puerto Rican, Cuban, Another Hispanic, Latino/a, or Spanish origin, Other, Don't know/not sure"
Secondary Data,ICBRFS/BRFSS,IDPH/CDC,Epidemiology,"If Pacific Islander race, are you?","Native Hawaiian, Guamanian or Chamorro, Samoan, Other Pacific Islander"
Secondary Data,ICBRFS/BRFSS,IDPH/CDC,Epidemiology,What is your ethnicity?,"Hispanic, Latino/a, or Spanish origin, Not Hispanic, Latino/a, or Spanish origin"
Secondary Data,ICBRFS/BRFSS,IDPH/CDC,Epidemiology,Which one of these groups would you say best represents your race?,"White, Black or African American, American Indian or Alaskan Native, Asian, Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Other Asian, Native Hawaiian, Guamanian or Chamorro, Samoan, Other Pacific Islander, Other race, No preferred race, Multiracial but preferred race not answered, Don’t know/Not sure"
Secondary Data,ICBRFS/BRFSS,IDPH/CDC,Epidemiology,Which one or more of the following would you say is your race?,"White, Black or African American, American Indian or Alaskan Native, Asian"
